 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  13. 3.    Time:  12:52:40
 Units: L = mm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    2      5.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    3     10.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    4     15.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    5     20.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    6     25.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    7     30.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    8     35.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
    9     40.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   10     45.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   11     50.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   12     55.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   13     60.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   14     65.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   15     70.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   16     75.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   17     80.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   18     85.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   19     90.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   20     95.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   21    100.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   22    105.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   23    110.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   24    115.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   25    120.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   26    125.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   27    130.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   28    135.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   29    140.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   30    145.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   31    150.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   32    155.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   33    160.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   34    165.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   35    170.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   36    175.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   37    180.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   38    185.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   39    190.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   40    195.00     0.060     0.410    -200.0   0.360E+04     1.000     0.003     1.000     1.000     1.000
   41    200.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   42    205.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   43    210.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   44    215.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   45    220.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   46    225.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   47    230.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   48    235.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   49    240.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   50    245.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   51    250.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   52    255.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   53    260.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   54    265.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   55    270.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   56    275.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   57    280.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   58    285.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   59    290.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   60    295.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   61    300.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   62    305.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   63    310.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   64    315.00     0.060     0.410    -200.0   0.360E+04     1.000     0.002     1.000     1.000     1.000
   65    320.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   66    325.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   67    330.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   68    335.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   69    340.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   70    345.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   71    350.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   72    355.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   73    360.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   74    365.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   75    370.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   76    375.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   77    380.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   78    385.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   79    390.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   80    395.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   81    400.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   82    405.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   83    410.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   84    415.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   85    420.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   86    425.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   87    430.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   88    435.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   89    440.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   90    445.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   91    450.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   92    455.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   93    460.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   94    465.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   95    470.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
