 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 2.    Time:  14:35: 0
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.45000E+01  0.60000E+01 -0.45000E+01  0.27931E+01 -0.17119E-09 -0.45000E+02  0.60000E+02 -0.45000E+02  0.26819E+02 -0.17119E-08 -0.37625E+03 -0.44172E+04 -0.10000E+04  0.18120E-04  0.20563E-03  0.89534E+02  0.45000E+02  0.00000E+00   5123  0.00000E+00      0.000
      20.0000 -0.45000E+01  0.60000E+01 -0.44999E+01  0.36420E+01 -0.17119E-09 -0.90000E+02  0.12000E+03 -0.90000E+02  0.59839E+02 -0.34238E-08 -0.37616E+03 -0.37653E+04 -0.10000E+04  0.63896E-04  0.59553E-03  0.10152E+03  0.90000E+02  0.00000E+00  15094  0.00000E+00      0.000
      30.0000 -0.45000E+01  0.60000E+01 -0.45001E+01  0.38941E+01 -0.17119E-09 -0.13500E+03  0.18000E+03 -0.13500E+03  0.97866E+02 -0.51357E-08 -0.37629E+03 -0.33135E+04 -0.10000E+04  0.57220E-04  0.98917E-03  0.10849E+03  0.13500E+03  0.00000E+00  25178  0.00000E+00      0.000
      40.0000 -0.45000E+01  0.60000E+01 -0.44999E+01  0.40152E+01 -0.17119E-09 -0.18000E+03  0.24000E+03 -0.18000E+03  0.13753E+03 -0.68477E-08 -0.37629E+03 -0.28853E+04 -0.10000E+04  0.79155E-04  0.13796E-02  0.11382E+03  0.18000E+03  0.00000E+00  35133  0.00000E+00      0.000
      50.0000 -0.45000E+01  0.60000E+01 -0.45001E+01  0.40645E+01 -0.17119E-09 -0.22500E+03  0.30000E+03 -0.22500E+03  0.17787E+03 -0.85596E-08 -0.37634E+03 -0.25254E+04 -0.10000E+04  0.71049E-04  0.17678E-02  0.11848E+03  0.22500E+03  0.00000E+00  45087  0.00000E+00      0.000
      60.0000 -0.45000E+01  0.60000E+01 -0.44999E+01  0.40720E+01 -0.17119E-09 -0.27000E+03  0.36000E+03 -0.27000E+03  0.21858E+03 -0.10272E-07 -0.37625E+03 -0.22067E+04 -0.10000E+04  0.60081E-04  0.21562E-02  0.12276E+03  0.27000E+03  0.00000E+00  55027  0.00000E+00      0.000
      70.0000 -0.45000E+01  0.60000E+01 -0.45000E+01  0.41167E+01 -0.17119E-09 -0.31500E+03  0.42000E+03 -0.31500E+03  0.25954E+03 -0.11983E-07 -0.37625E+03 -0.18671E+04 -0.10000E+04  0.44823E-04  0.25465E-02  0.12679E+03  0.31500E+03  0.00000E+00  64952  0.00000E+00      0.000
      80.0000 -0.45000E+01  0.60000E+01 -0.45000E+01  0.41223E+01 -0.17119E-09 -0.36000E+03  0.48000E+03 -0.36000E+03  0.30065E+03 -0.13695E-07 -0.37626E+03 -0.15876E+04 -0.10000E+04  0.40531E-04  0.29353E-02  0.13066E+03  0.36000E+03  0.00000E+00  74877  0.00000E+00      0.000
