 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 2.    Time:  15: 5:25
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.90000E+01  0.60000E+01 -0.89999E+01  0.46720E+01 -0.17119E-09 -0.90000E+02  0.60000E+02 -0.90000E+02  0.38531E+02 -0.17119E-08 -0.37566E+03 -0.25592E+04 -0.10000E+04  0.65804E-04  0.44787E-03  0.12288E+03  0.90000E+02  0.00000E+00   9979  0.00000E+00      0.000
      20.0000 -0.90000E+01  0.60000E+01 -0.90000E+01  0.57167E+01 -0.17119E-09 -0.18000E+03  0.12000E+03 -0.18000E+03  0.91758E+02 -0.34238E-08 -0.37566E+03 -0.94789E+03 -0.10000E+04  0.39101E-04  0.94763E-03  0.15966E+03  0.18000E+03  0.00000E+00  21600  0.00000E+00      0.000
      30.0000 -0.90000E+01  0.60000E+01 -0.90000E+01  0.57597E+01 -0.17119E-09 -0.27000E+03  0.18000E+03 -0.27000E+03  0.14945E+03 -0.51358E-08 -0.37566E+03 -0.37746E+03 -0.10000E+04  0.48637E-04  0.14390E-02  0.19197E+03  0.27000E+03  0.00000E+00  33605  0.00000E+00      0.000
      40.0000 -0.90000E+01  0.60000E+01 -0.89999E+01  0.57568E+01 -0.17119E-09 -0.36000E+03  0.24000E+03 -0.36000E+03  0.20702E+03 -0.68477E-08 -0.37566E+03 -0.37616E+03 -0.10000E+04  0.14496E-03  0.19265E-02  0.22440E+03  0.36000E+03  0.00000E+00  45475  0.00000E+00      0.000
      50.0000 -0.90000E+01  0.60000E+01 -0.90000E+01  0.57568E+01 -0.17119E-09 -0.45000E+03  0.30000E+03 -0.45000E+03  0.26459E+03 -0.85596E-08 -0.37566E+03 -0.37616E+03 -0.10000E+04  0.27657E-04  0.24230E-02  0.25683E+03  0.45000E+03  0.00000E+00  57368  0.00000E+00      0.000
      60.0000 -0.90000E+01  0.60000E+01 -0.90000E+01  0.57568E+01 -0.19894E+01 -0.54000E+03  0.36000E+03 -0.54000E+03  0.32215E+03 -0.23586E+01 -0.37566E+03 -0.37616E+03 -0.40087E+03  0.31471E-04  0.29130E-02  0.28690E+03  0.54000E+03  0.00000E+00  69231  0.00000E+00      0.000
      70.0000 -0.90000E+01  0.60000E+01 -0.90001E+01  0.57568E+01 -0.32238E+01 -0.63000E+03  0.42000E+03 -0.63000E+03  0.37972E+03 -0.32951E+02 -0.37566E+03 -0.37616E+03 -0.37642E+03  0.13733E-03  0.34039E-02  0.28874E+03  0.63000E+03  0.00000E+00  81124  0.00000E+00      0.000
      80.0000 -0.90000E+01  0.60000E+01 -0.90000E+01  0.57568E+01 -0.31756E+01 -0.72000E+03  0.48000E+03 -0.72000E+03  0.43729E+03 -0.65384E+02 -0.37566E+03 -0.37616E+03 -0.37642E+03  0.11444E-04  0.39039E-02  0.28874E+03  0.72000E+03  0.00000E+00  93036  0.00000E+00      0.000
