 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 2.    Time:  15:27: 8
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.62500E+01  0.50000E+01 -0.62500E+01  0.25653E+01 -0.17119E-09 -0.62500E+02  0.50000E+02 -0.62500E+02  0.25463E+02 -0.17119E-08 -0.37602E+03 -0.31505E+04 -0.10000E+04  0.30041E-04  0.49488E-03  0.10843E+03  0.62500E+02  0.00000E+00   9672  0.00000E+00      0.000
      20.0000 -0.62500E+01  0.50000E+01 -0.62499E+01  0.31301E+01 -0.17119E-09 -0.12500E+03  0.10000E+03 -0.12500E+03  0.54663E+02 -0.34238E-08 -0.37602E+03 -0.17485E+04 -0.10000E+04  0.11539E-03  0.96631E-03  0.14173E+03  0.12500E+03  0.00000E+00  21485  0.00000E+00      0.000
      30.0000 -0.62500E+01  0.50000E+01 -0.62499E+01  0.31517E+01 -0.17119E-09 -0.18750E+03  0.15000E+03 -0.18750E+03  0.86466E+02 -0.51358E-08 -0.37602E+03 -0.40286E+03 -0.10000E+04  0.84877E-04  0.14378E-02  0.17243E+03  0.18750E+03  0.00000E+00  33556  0.00000E+00      0.000
      40.0000 -0.62500E+01  0.50000E+01 -0.62500E+01  0.30657E+01 -0.17119E-09 -0.25000E+03  0.20000E+03 -0.25000E+03  0.11735E+03 -0.68477E-08 -0.37602E+03 -0.37643E+03 -0.10000E+04  0.00000E+00  0.19119E-02  0.20405E+03  0.25000E+03  0.00000E+00  45500  0.00000E+00      0.000
      50.0000 -0.62500E+01  0.50000E+01 -0.62500E+01  0.30659E+01 -0.17119E-09 -0.31250E+03  0.25000E+03 -0.31250E+03  0.14801E+03 -0.85596E-08 -0.37602E+03 -0.37630E+03 -0.10000E+04  0.49114E-04  0.23841E-02  0.23589E+03  0.31250E+03  0.00000E+00  57405  0.00000E+00      0.000
      60.0000 -0.62500E+01  0.50000E+01 -0.62500E+01  0.30659E+01 -0.17119E-09 -0.37500E+03  0.30000E+03 -0.37500E+03  0.17867E+03 -0.10271E-07 -0.37602E+03 -0.37630E+03 -0.10000E+04  0.40054E-04  0.28663E-02  0.26773E+03  0.37500E+03  0.00000E+00  69342  0.00000E+00      0.000
      70.0000 -0.62500E+01  0.50000E+01 -0.62500E+01  0.30659E+01 -0.32413E+01 -0.43750E+03  0.35000E+03 -0.43750E+03  0.20932E+03 -0.10990E+02 -0.37602E+03 -0.37630E+03 -0.37642E+03  0.24319E-04  0.33404E-02  0.28858E+03  0.43750E+03  0.00000E+00  81300  0.00000E+00      0.000
      80.0000 -0.62500E+01  0.50000E+01 -0.62499E+01  0.30659E+01 -0.32438E+01 -0.50000E+03  0.40000E+03 -0.50000E+03  0.23998E+03 -0.42832E+02 -0.37602E+03 -0.37630E+03 -0.37642E+03  0.74387E-04  0.38136E-02  0.28858E+03  0.50000E+03  0.00000E+00  93178  0.00000E+00      0.000
