 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  20.10.    Time:  12:12:34
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.68750E+01  0.50000E+01 -0.68750E+01  0.27435E+01 -0.17119E-09 -0.68750E+02  0.50000E+02 -0.68750E+02  0.26623E+02 -0.17119E-08 -0.37594E+03 -0.29253E+04 -0.10000E+04  0.11921E-04  0.50024E-03  0.11354E+03  0.68750E+02  0.00000E+00   9882  0.00000E+00      0.000
      20.0000 -0.68750E+01  0.50000E+01 -0.68751E+01  0.32935E+01 -0.17119E-09 -0.13750E+03  0.10000E+03 -0.13750E+03  0.57571E+02 -0.34238E-08 -0.37594E+03 -0.13081E+04 -0.10000E+04  0.72956E-04  0.97844E-03  0.15134E+03  0.13750E+03  0.00000E+00  21620  0.00000E+00      0.000
      30.0000 -0.68750E+01  0.50000E+01 -0.68750E+01  0.31926E+01 -0.17119E-09 -0.20625E+03  0.15000E+03 -0.20625E+03  0.90260E+02 -0.51358E-08 -0.37594E+03 -0.37748E+03 -0.10000E+04  0.00000E+00  0.14028E-02  0.18740E+03  0.20625E+03  0.00000E+00  33616  0.00000E+00      0.000
      40.0000 -0.68750E+01  0.50000E+01 -0.68751E+01  0.31734E+01 -0.17119E-09 -0.27500E+03  0.20000E+03 -0.27500E+03  0.12202E+03 -0.68477E-08 -0.37594E+03 -0.37623E+03 -0.10000E+04  0.13065E-03  0.16998E-02  0.22440E+03  0.27500E+03  0.00000E+00  45812  0.00000E+00      0.000
      50.0000 -0.68750E+01  0.50000E+01 -0.68750E+01  0.31734E+01 -0.17119E-09 -0.34375E+03  0.25000E+03 -0.34375E+03  0.15375E+03 -0.85596E-08 -0.37594E+03 -0.37623E+03 -0.10000E+04  0.00000E+00  0.19920E-02  0.26141E+03  0.34375E+03  0.00000E+00  58009  0.00000E+00      0.000
      60.0000 -0.68750E+01  0.50000E+01 -0.68751E+01  0.31734E+01 -0.37037E+01 -0.41250E+03  0.30000E+03 -0.41250E+03  0.18548E+03 -0.96976E+01 -0.37594E+03 -0.37623E+03 -0.37636E+03  0.13065E-03  0.22989E-02  0.28873E+03  0.41250E+03  0.00000E+00  70214  0.00000E+00      0.000
      70.0000 -0.68750E+01  0.50000E+01 -0.68750E+01  0.31734E+01 -0.36919E+01 -0.48125E+03  0.35000E+03 -0.48125E+03  0.21722E+03 -0.46715E+02 -0.37594E+03 -0.37623E+03 -0.37635E+03  0.00000E+00  0.25756E-02  0.28873E+03  0.48125E+03  0.00000E+00  82420  0.00000E+00      0.000
      80.0000 -0.68750E+01  0.50000E+01 -0.68751E+01  0.31734E+01 -0.37137E+01 -0.55000E+03  0.40000E+03 -0.55000E+03  0.24895E+03 -0.83733E+02 -0.37594E+03 -0.37623E+03 -0.37635E+03  0.81539E-04  0.29101E-02  0.28873E+03  0.55000E+03  0.00000E+00  94621  0.00000E+00      0.000
